"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_740_8","FB_28_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3973402,136672754,1007834.01491036,21023.291005291,0.0208598744379161,1.59807731962754,38.2070516077363,7.60146125183417e-05,910000,910000,-0.0970735393556457,25227.9492063492,0.2,910000.000000005,-0.0970735393556411,0.0277230211058781,2.25501091054167,35.5838948237901,8.93854229726348e-05,0.411077475942932,-0.0686563519969464
"2","5_740_8","FB_30_broad_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3712528,136672754,1007834.01491036,8735.36,0.00866745899698271,0.033346334787558,38.2070516077363,3.8173967400952e-06,910000,910000,-0.0970735393556457,6114.752,-0.3,910000.000000005,-0.0970735393556411,0.00671950769230766,0.0198712165423942,35.5838948237901,3.24971749343132e-06,-0.404095932311924,-0.0686563519969464
"3","5_740_8","FB_30_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,1076176,136672754,1007834.01491036,2809.8590078329,0.00278801763610134,0.321750758681769,38.2070516077363,0.000114507794798544,910000,910000,-0.0970735393556457,3371.83080939948,0.2,910000.000000005,-0.0970735393556411,0.00370530858175765,0.526531026502527,35.5838948237901,0.000156155826394001,0.636456208090242,-0.0686563519969464
"4","5_740_8","FB_30_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,9915433,136672754,1007834.01491036,25359.1636828645,0.0251620438561205,0.675915625769875,38.2070516077363,2.66537033406429e-05,910000,910000,-0.0970735393556457,30430.9964194373,0.2,910000.000000005,-0.0970735393556411,0.0334406554059749,1.08929934353285,35.5838948237901,3.57957172521986e-05,0.611590710441299,-0.0686563519969464
"5","5_740_8","FB_40_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,892444,136672754,1007834.01491036,2479.01111111111,0.0024597414598391,0.000786880684012895,38.2070516077363,3.17417167065544e-07,910000,910000,-0.0970735393556457,1735.30777777778,-0.3,910000.000000005,-0.0970735393556411,0.00190693162393161,0.000282176711543143,35.5838948237901,1.62609028298425e-07,-0.641398350123283,-0.0686563519969464
"6","5_740_8","FB_40_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,6054607,136672754,1007834.01491036,10385.2607204117,0.0103045348408243,0.74542162192149,38.2070516077363,7.17768809074195e-05,910000,910000,-0.0970735393556457,12462.312864494,0.2,910000.000000005,-0.0970735393556411,0.0136948493016417,0.906940018280339,35.5838948237901,7.27746148039884e-05,0.216680589358946,-0.0686563519969464
"7","5_740_8","FB_50_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,92379,136672754,1007834.01491036,3421.44444444444,0.00339484914561924,0.10241013463274,38.2070516077363,2.99318420321067e-05,910000,910000,-0.0970735393556457,4105.73333333333,0.2,910000.000000005,-0.0970735393556411,0.00451179487179485,0.169576322169786,35.5838948237901,4.13023224847659e-05,0.655854889537206,-0.0686563519969464
"8","5_740_8","FB_female_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,49052834,136672754,1007834.01491036,75004.3333333333,0.0744213156369846,2.93095104682561,38.2070516077363,3.90770895036146e-05,910000,910000,-0.0970735393556457,52503.0333333333,-0.3,910000.000000005,-0.0970735393556411,0.0576956410256407,2.47764629746396,35.5838948237901,4.71905362445211e-05,-0.154661317135475,-0.0686563519969464
"9","5_740_8","FB_male_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,27575823,136672754,1007834.01491036,40792.6375739645,0.0404755515000084,4.98618685884911,38.2070516077363,0.000122232519282634,910000,910000,-0.0970735393556457,33041.5552696466,-0.190011795394789,910000.000000005,-0.0970735393556411,0.0363094013952158,4.64832833143653,35.5838948237901,0.000140681281298725,-0.0677588981273282,-0.0686563519969464
"10","5_740_8","FB_u25_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,366344,136672754,1007834.01491036,8935.21951219512,0.00886576497717221,0.13334750817684,38.2070516077363,1.49238088661215e-05,910000,910000,-0.0970735393556457,6254.65365853659,-0.3,910000.000000005,-0.0970735393556411,0.0068732457786116,0.0898463032345049,35.5838948237901,1.4364712762613e-05,-0.326224355723583,-0.0686563519969464
