"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_740_8","FB_28_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3973402,136672754,1007834.01491036,21023.291005291,0.0208598744379161,1.59807731962754,38.2070516077363,7.60146125183417e-05,710000,710000,-0.295518915321438,14716.3037037037,-0.3,710000,-0.295518915321438,0.0207271883150756,0.792958491483252,24.337628425353,5.38829931379906e-05,-0.503804677192923,-0.36300689529194
"2","5_740_8","FB_30_broad_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,3712528,136672754,1007834.01491036,8735.36,0.00866745899698271,0.033346334787558,38.2070516077363,3.8173967400952e-06,710000,710000,-0.295518915321438,6114.752,-0.3,710000,-0.295518915321438,0.00861232676056338,0.0198712165423942,24.337628425353,3.24971749343132e-06,-0.404095932311924,-0.36300689529194
"3","5_740_8","FB_30_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,1076176,136672754,1007834.01491036,2809.8590078329,0.00278801763610134,0.321750758681769,38.2070516077363,0.000114507794798544,710000,710000,-0.295518915321438,3371.83080939948,0.2,710000,-0.295518915321438,0.00474905747802743,0.526531026502527,24.337628425353,0.000156155826394001,0.636456208090242,-0.36300689529194
"4","5_740_8","FB_30_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,9915433,136672754,1007834.01491036,25359.1636828645,0.0251620438561205,0.675915625769875,38.2070516077363,2.66537033406429e-05,710000,710000,-0.295518915321438,17751.4145780051,-0.3,710000,-0.295518915321438,0.0250019923633875,0.257445367154508,24.337628425353,1.45028085521418e-05,-0.619116118433755,-0.36300689529194
"5","5_740_8","FB_40_retarg_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,892444,136672754,1007834.01491036,2479.01111111111,0.0024597414598391,0.000786880684012895,38.2070516077363,3.17417167065544e-07,710000,710000,-0.295518915321438,1735.30777777778,-0.3,710000,-0.295518915321438,0.00244409546165884,0.000282176711543143,24.337628425353,1.62609028298425e-07,-0.641398350123283,-0.36300689529194
"6","5_740_8","FB_40_similar_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,6054607,136672754,1007834.01491036,10385.2607204117,0.0103045348408243,0.74542162192149,38.2070516077363,7.17768809074195e-05,710000,710000,-0.295518915321438,7269.68250428816,-0.3,710000,-0.295518915321438,0.0102389894426594,0.483847460489618,24.337628425353,6.65568902361569e-05,-0.35090766586245,-0.36300689529194
"7","5_740_8","FB_50_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,92379,136672754,1007834.01491036,3421.44444444444,0.00339484914561924,0.10241013463274,38.2070516077363,2.99318420321067e-05,710000,710000,-0.295518915321438,2395.01111111111,-0.3,710000,-0.295518915321438,0.00337325508607199,0.0373384424419433,24.337628425353,1.5590091531818e-05,-0.635402857580012,-0.36300689529194
"8","5_740_8","FB_female_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,49052834,136672754,1007834.01491036,75004.3333333333,0.0744213156369846,2.93095104682561,38.2070516077363,3.90770895036146e-05,710000,710000,-0.295518915321438,52503.0333333333,-0.3,710000,-0.295518915321438,0.0739479342723005,2.47764629746396,24.337628425353,4.71905362445211e-05,-0.154661317135475,-0.36300689529194
"9","5_740_8","FB_male_other_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,27575823,136672754,1007834.01491036,40792.6375739645,0.0404755515000084,4.98618685884911,38.2070516077363,0.000122232519282634,710000,710000,-0.295518915321438,28554.8463017751,-0.3,710000,-0.295518915321438,0.0402180933827819,4.41980380077254,24.337628425353,0.000154782965877767,-0.113590419715497,-0.36300689529194
"10","5_740_8","FB_u25_S",2020-05-06,2022-03-31,"695 days",0.7,1.2,366344,136672754,1007834.01491036,8935.21951219512,0.00886576497717221,0.13334750817684,38.2070516077363,1.49238088661215e-05,710000,710000,-0.295518915321438,6254.65365853659,-0.3,710000,-0.295518915321438,0.00880937135005153,0.0898463032345049,24.337628425353,1.4364712762613e-05,-0.326224355723583,-0.36300689529194
